subject,predicate,object
C0009319,CAUSES,C0011581
C0013216,COMPARED_WITH,C0015252
C0430022,ISA,C0009378
C0024623,AFFECTS(SPEC),C0017638
C0025219,PREVENTS,C0751506
C0085104,TREATS(INFER),C0948380
C2697961,DISRUPTS(SPEC),C0018270
C0543478,DIAGNOSES,C0872169
C2939419,NEG_DIAGNOSES,C0040395
C1422775,LOCATION_OF,C0040300
C0009402,ASSOCIATED_WITH(INFER),C1511518
C0001675,PROCESS_OF,C1149888
C0596263,PROCESS_OF,C0034693
C1292533,PART_OF,C0238198
C0009402,ASSOCIATED_WITH,C0022818
C2939419,AFFECTS,C3470763
C1825598,PART_OF,C0150775
C2681866,INTERACTS_WITH,C1540298
C0085669,ISA,C0023467
C0044602,LOCATION_OF,C1171362
C0281185,PRECEDES,C0184661
C0014939,COMPARED_WITH,C0014912
C3827014,INTERACTS_WITH,C0017428
C0110611,ASSOCIATED_WITH,C0427008
C0206754,LOCATION_OF,C0013303
C1539297,DISRUPTS,C0007621
C0085255,LOCATION_OF,C0227388
C1512814,TREATS,C0563211
C0030705,AFFECTS,C0879626
C0439631,PRECEDES,C0011900
C1517722,TREATS,C0266642
C0007586,PROCESS_OF,C0007102
C0024432,PRODUCES,C0058126
C0027361,PROCESS_OF,C0020179
C0153676,LOCATION_OF,C1179412
C0600558,PRECEDES,C0872169
C0301521,COEXISTS_WITH,C1958300
C0027627,PRECEDES,C0009402
C0015691,AUGMENTS,C0242629
C1414432,PREDISPOSES,C0598934
C0033137,METHOD_OF,C1514821
C0025202,AFFECTS(SPEC),C0376358
C0332149,AFFECTS,C1623038
C0491243,USES,C0179533
C0009375,ASSOCIATED_WITH,C0015684
C0011065,PROCESS_OF,C0021562
C0043210,TREATS,C0013227
C0334108,PROCESS_OF(SPEC),C0030705
C0015250,COEXISTS_WITH,C1517942
C0086418,PROCESS_OF,C0029925
C0227579,LOCATION_OF,C1096155
C0206058,TREATS,C0007102
C0172537,LOCATION_OF,C0282639
C3714516,ADMINISTERED_TO,C0030705
C0005558,DIAGNOSES,C0206695
C0002520,ISA,C0001898
C0005558,DIAGNOSES,C0206696
C0021344,DIAGNOSES,C0430022
C0012634,TREATS,C0003232
C0346627,ASSOCIATED_WITH,C2744535
C1709627,PROCESS_OF,C0278252
C0007113,COEXISTS_WITH,C0920269
C0376358,NEG_DIAGNOSES,C0024485
C0005558,DIAGNOSES,C0279626
C0400076,TREATS,C0020538
C1512167,PROCESS_OF,C1419195
C0027651,AFFECTS,C0871489
C0074725,INTERACTS_WITH,C0003209
C1520120,PREDISPOSES,C1335837
C0007537,COEXISTS_WITH,C0047611
C0035648,PREDISPOSES,C0009404
C0024121,COEXISTS_WITH(SPEC),C0152013
C4055105,ASSOCIATED_WITH,C1512127
C0007621,AFFECTS,C0266427
C0206058,TREATS,C0007113
C0035648,PREDISPOSES,C0009402
C0280100,TREATS,C0087111
C0022457,ASSOCIATED_WITH,C0007131
C0153435,DIAGNOSES,C0742919
C0009402,ASSOCIATED_WITH,C1335812
C0040300,LOCATION_OF,C0007621
C0002520,INHIBITS,C0017797
C0123931,COEXISTS_WITH,C0671970
C0030705,PROCESS_OF,C1442858
C0022457,AFFECTS,C0086982
C0021670,TREATS(SPEC),C0015252
C0026724,LOCATION_OF,C0076765
C0399839,TREATS,C0699791
C0266642,PART_OF,C0043210
C0023884,PART_OF,C1292533
C0023743,CAUSES,C0600139
C0001040,LOCATION_OF(SPEC),C0040300
C0948380,ASSOCIATED_WITH,C0966897
C1402294,COEXISTS_WITH,C0019294
C0029925,PROCESS_OF,C0030705
C1538577,ASSOCIATED_WITH,C0009402
C0282554,PART_OF,C2239176
C0009402,ASSOCIATED_WITH,C1335892
C1414178,ASSOCIATED_WITH,C0009402
C0333983,COEXISTS_WITH,C0334292
C0040300,LOCATION_OF,C1825598
C0227375,PART_OF,C0030705
C0260037,ASSOCIATED_WITH,C1540292
C0007102,ASSOCIATED_WITH,C0053800
C0812241,PROCESS_OF,C0026882
C0009932,PROCESS_OF,C0015732
C0278484,ASSOCIATED_WITH(SPEC),C1332735
C1290905,LOCATION_OF,C0003617
C0012634,TREATS,C1522577
C0596473,DIAGNOSES,C0009402
C0032580,MANIFESTATION_OF,C2936329
C0016059,TREATS(INFER),C0185468
C0007097,COEXISTS_WITH,C0001430
C2350332,LOCATION_OF,C1822624
C0085605,PREDISPOSES,C0042963
C0030705,TREATS,C0021102
C0029925,TREATS,C0741614
C0919691,ASSOCIATED_WITH,C0006560
C0741885,COEXISTS_WITH,C3544266
C0030705,TREATS,C0021107
C2744535,ASSOCIATED_WITH,C0345905
C1428141,AUGMENTS,C0007577
C0003402,INHIBITS,C0079419
C0596545,PROCESS_OF,C0031831
C0334227,INTERACTS_WITH,C4330475
C0024623,TREATS,C0969690
C0030274,LOCATION_OF,C0333288
C0596087,TREATS,C0948380
C0040300,LOCATION_OF,C1825588
C2610960,AUGMENTS,C0633190
C1420708,PROCESS_OF,C2611689
C0013089,COMPARED_WITH,C0004057
C1333527,AFFECTS,C0596290
C0334227,LOCATION_OF,C1412588
C0012644,PROCESS_OF,C0948380
C0343055,AFFECTS(SPEC),C2347883
C0017952,STIMULATES,C1424999
C0027651,ASSOCIATED_WITH,C0380162
C0879393,COEXISTS_WITH,C1334532
C1306459,LOCATION_OF,C0007634
C2980094,TREATS,C0599755
C0007621,COEXISTS_WITH,C0265325
C1700929,TREATS,C0940937
C0027361,AFFECTS,C0012634
C0149925,PROCESS_OF,C0025266
C0030705,PROCESS_OF,C0079380
C0030705,LOCATION_OF,C1825598
C4320404,PART_OF,C0030705
C0919691,AFFECTS,C0009566
C0007113,PREDISPOSES,C0162326
C0079189,MEASURES,C1709846
C0013081,PROCESS_OF,C1258005
C0006613,LOCATION_OF,C0032105
C0376443,ADMINISTERED_TO,C0030705
C0001418,TREATS,C0003392
C0022023,LOCATION_OF,C0018787
C0182953,USES,C1516119
C1955822,DISRUPTS,C0009368
C0009402,NEG_ASSOCIATED_WITH,C1419240
C0742558,AUGMENTS,C0044894
C0027651,COEXISTS_WITH,C0242473
C0022885,USES,C1112446
C0007097,COEXISTS_WITH,C0001418
C0006141,PART_OF,C0005767
C0686619,LOCATION_OF,C0030797
C0252902,ASSOCIATED_WITH,C0009402
C0023903,DISRUPTS,C0079427
C0475358,PART_OF,C0030705
C0032743,ISA,C0040395
C0751429,TREATS,C1319315
C0027651,ASSOCIATED_WITH,C1825598
C0002520,PRODUCES,C0019932
C0038351,PART_OF,C0013303
C0007102,PREVENTS,C0376515
C1258215,PROCESS_OF,C0025266
C0007301,PART_OF,C0038078
C0026019,ISA,C0220825
C0032580,COEXISTS_WITH(SPEC),C0079218
C0006141,PART_OF,C0030705
C0079278,COEXISTS_WITH,C1879736
C0669365,AUGMENTS,C0037083
C0348000,TREATS,C0267581
C1306468,TREATS,C3850079
C0030956,INTERACTS_WITH,C0717726
C0014597,LOCATION_OF,C0069676
C2239176,ASSOCIATED_WITH,C0870883
C0063034,INTERACTS_WITH,C0035179
C0030705,LOCATION_OF,C0524533
C0009402,AFFECTS,C0022104
C0014180,AFFECTS,C0006826
C1336869,PROCESS_OF,C0030705
C0015252,TREATS(INFER),C1335302
C2936626,AFFECTS,C0596402
C0079427,PROCESS_OF,C1516924
C0007531,LOCATION_OF,C1319315
C0021083,TREATS(INFER),C2239176
C0007600,LOCATION_OF,C1428909
C0494165,NEG_PROCESS_OF,C0030705
C3827014,COMPARED_WITH,C0041365
C2681105,DISRUPTS,C0037083
C0022104,COEXISTS_WITH,C0949059
C0019144,HIGHER_THAN,C0019144
C1516213,TREATS,C3896609
